"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Italija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";122;186
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Latvija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Litva"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;2
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Luksemburg"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Madžarska"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";26;33
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Makedonija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
