"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Dostopnost turistiènih informacij";31275;8397;16534;N;-;-;N
" ";" ";"Enostavnost dostopnosti destinacije";31275;9431;17476;N;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";31275;4723;15524;N;N;-;N
" ";" ";"Organizacija lokalnega prevoza";31275;N;6336;N;-;-;19626
" ";" ";"Splošna èistoèa destinacije";31275;12603;13917;N;N;-;N
" ";" ";"Neokrnjena narava";31275;8845;15180;N;-;-;N
" ";" ";"Podnebne razmere";31275;7964;13902;6494;N;-;N
" ";" ";"Skrb za okolje";31275;8548;14193;N;-;N;N
" ";" ";"Prijaznost lokalnega prebivalstva";31275;15242;11952;N;-;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";31275;5907;13130;N;N;N;7171
" ";" ";"Ponudba kulturnih prireditev";31275;N;7698;N;N;N;16239
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";31275;N;6990;N;-;N;16127
" ";" ";"Ponudba športnih prireditev";31275;N;N;N;N;-;20407
" ";" ";"Zdravstvena ponudba";31275;N;N;N;-;-;23726
" ";" ";"Dobropoèutna ponudba";31275;N;6951;N;N;-;16970
" ";" ";"Ponudba lokalne gastronomije";31275;6671;14326;N;N;-;N
" ";" ";"Možnosti za nakupovanje";31275;N;11350;6603;N;N;9976
" ";" ";"Noèno življenje in zabava";31275;N;7158;N;N;N;17216
" ";" ";"Možnosti za poèitek";31275;7357;15186;N;-;-;6942
" ";" ";"Primerno za družine";31275;6940;9059;N;N;N;11225
" ";" ";"Ponudba kazinojev in igralnic";31275;4163;N;N;-;-;23500
" ";" ";"Konferenèna ponudba";31275;N;N;N;N;-;21024
" ";" ";"Kakovost nastanitve";31275;10134;15898;N;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";31275;6467;17512;N;N;-;N
" ";" ";"Sloves destinacije";31275;7701;14836;N;N;-;N
"Maj"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Osebna varnost";175301;96044;65985;4389;N;N;8253
" ";" ";"Dostopnost turistiènih informacij";175301;59258;75646;22954;N;N;11147
